word,business,entertainment,sport,tech,politics
log-in,1,0,0,0,0
long jump,0,0,1,0,0
long-jump,0,0,1,0,0
lose,0,0,1,0,0
loser,0,0,1,0,0
loss,1,0,1,0,0
low,1,0,0,0,0
low-power,0,0,0,1,0
lower class,0,0,0,0,1
lower house,0,0,0,0,1
lucrative,1,0,0,0,0
luge,0,0,1,0,0
lutz,0,0,1,0,0
machine,0,0,0,1,0
machine learning,0,0,0,1,0
macroeconomics,1,0,0,0,0
magic,0,1,0,0,0
magician,0,1,0,0,0
mailbox,1,0,0,0,0
main branch,1,0,0,0,0
mainframe,1,0,0,0,0
mainstream,0,0,0,0,1
major league,0,0,1,0,0
majority,0,0,0,0,1
malfeasance,0,0,0,0,1
mallet,0,0,1,0,0
manage,1,0,0,0,0
managed fund,1,0,0,0,0
management,1,0,0,0,0
manager,1,0,1,0,0
manifesto,0,0,0,0,1
manipulate,0,0,0,0,1
manufacturing output,1,0,0,0,0
marathon,0,0,1,0,0
margin,1,0,0,0,0
market,1,0,0,0,0
market economy,0,0,0,0,1
marketing,1,0,0,0,0
martial arts,0,0,1,0,0
marxism,0,0,0,0,1
masked ball,0,1,0,0,0
masque,0,1,0,0,0
massive,0,0,0,0,1
mat,0,0,1,0,0
match,0,0,1,0,0
medal,0,0,1,0,0
media,0,0,0,1,0
median,1,0,0,0,0
medieval,0,1,0,0,0
meeting,1,0,0,0,0
melodrama,0,1,0,0,0
mendacity,0,0,0,0,1
merchandise,1,0,0,0,0
merchant,1,0,0,0,0
mercurial,0,0,0,0,1
merger,1,0,0,0,0
meritocracy,0,0,0,0,1
microblogging,0,0,0,1,0
microchip,0,0,0,1,0
microeconomics,1,0,0,0,0
microwave,0,0,0,1,0
middle class,0,0,0,0,1
military dictatorship,0,0,0,0,1
minimum wage,1,0,0,0,0
minister,0,0,0,0,1
minor league,0,0,1,0,0
minstrel show,0,1,0,0,0
mitt,0,0,1,0,0
mlb,0,0,1,0,0
mma,0,0,1,0,0
mobile,0,0,0,1,0
moderate,0,0,0,0,1
modern,0,0,0,1,0
modernist,0,1,0,0,0
modify,0,0,0,1,0
monarchy,0,0,0,0,1
monetarism,1,0,0,0,0
monetary,1,0,0,0,0
monetary policy committee,1,0,0,0,0
money,1,0,0,0,0
monitor,0,0,0,1,0
monopoly,1,0,0,0,0
mortgage,1,0,0,0,0
motherboard,1,0,0,0,0
motion picture,0,1,0,0,0
motorsport,0,0,1,0,0
mouthguard,0,0,1,0,0
move,0,0,1,0,0
movement,0,0,1,0,0
movie,0,1,0,0,0
mp,0,0,0,0,1
murder,0,1,0,0,0
museum,0,1,0,0,0
music,0,1,0,0,0
music hall,0,1,0,0,0
musical,0,1,0,0,0
musical theater,0,1,0,0,0
musician,0,1,0,0,0
mutual,1,0,0,0,0
mutual fund,1,0,0,0,0
mvp,0,0,1,0,0
mystery,0,1,0,0,0
naked short-selling,1,0,0,0,0
nasdaq,1,0,0,0,0
nation,0,0,0,0,1
national debt,1,0,0,0,0
national economic council,1,0,0,0,0
national insurance,1,0,0,0,0
national people's congress,0,0,0,0,1
national security,0,0,0,0,1
nationalize,0,0,0,0,1
natural language processing,0,0,0,1,0
nba,0,0,1,0,0
negative equity,1,0,0,0,0
negotiate,1,0,0,0,0
negotiation,1,0,0,0,0
neo-nazi,0,0,0,0,1
neoconservative,0,0,0,0,1
net,1,0,1,0,0
net asset value,1,0,0,0,0
net worth,1,0,0,0,0
network,1,0,0,1,0
networks,0,0,0,1,0
new york stock exchange,1,0,0,0,0
nhl,0,0,1,0,0
niesr,1,0,0,0,0
nightclub,0,1,0,0,0
nikkei,1,0,0,0,0
nlp,0,0,0,1,0
no-hitter,0,0,1,0,0
no-win,1,0,0,0,0
nominal interest rate,1,0,0,0,0
nominal values,1,0,0,0,0
nominee,0,0,0,0,1
non-elected,0,0,0,0,1
nordic skiing,0,0,1,0,0
not rocket science,0,0,0,1,0
nrl,0,0,1,0,0
object,0,0,1,0,0
obscure,0,0,0,0,1
obsolete,0,0,0,1,0
occupation,1,0,0,0,0
offense,0,0,1,0,0
offer,1,0,0,0,0
office,1,0,0,0,0
office for national statistics (ons),1,0,0,0,0
office of fair trading (oft),1,0,0,0,0
offline,1,0,0,0,0
offshore account,1,0,0,0,0
offside,0,0,1,0,0
oil painting,0,1,0,0,0
old lady of threadneedle street,1,0,0,0,0
oligarchy,0,0,0,0,1
oligopoly,1,0,0,0,0
ollie,0,0,1,0,0
olympics,0,0,1,0,0
onerous,0,0,0,0,1
online,1,0,0,1,0
online piracy,0,0,0,1,0
online scams,0,0,0,1,0
online shopping,0,0,0,1,0
open,1,0,0,0,0
open an account,1,0,0,0,0
open-market operations,1,0,0,0,0
opera,0,1,0,0,0
operating profit/loss,1,0,0,0,0
operetta,0,1,0,0,0
opinion poll,0,0,0,0,1
opponent,0,0,1,0,0
opportunist,0,0,0,0,1
opportunity,1,0,0,0,0
opposition,0,0,0,0,1
oppression,0,0,0,0,1
optimization,0,0,0,1,0
option,1,0,0,0,0
orchestra,0,1,0,0,0
order,1,0,0,0,0
ordinary residence,1,0,0,0,0
ordinary share,1,0,0,0,0
organisation for economic cooperation and development,1,0,0,0,0
organisation of petroleum exporting countries (opec),1,0,0,0,0
organization,1,0,0,0,0
orienteering,0,0,1,0,0
out,0,0,1,0,0
out of this world,0,0,0,1,0
outdated,0,0,0,1,0
outfield,0,0,1,0,0
outfielder,0,0,1,0,0
outgoing,1,0,0,0,0
over-reliant,0,0,0,1,0
overdraft,1,0,0,0,0
overdrawn,1,0,0,0,0
overhead,1,0,0,0,0
overthrow,0,0,0,0,1
overwhelmed,0,0,1,0,0
owner,1,0,0,0,0
packing list,1,0,0,0,0
paddle,0,0,1,0,0
paddleball,0,0,1,0,0
paddling,0,0,1,0,0
paintball,0,0,1,0,0
painter,0,1,0,0,0
painting,0,1,0,0,0
panto,0,1,0,0,0
pantomime,0,1,0,0,0
paperweight,1,0,0,0,0
para-olympics,0,0,1,0,0
parasailing,0,0,1,0,0
park,0,1,0,0,0
parkour,0,0,1,0,0
parliament,0,0,0,0,1
parry,0,0,0,0,1
partial,0,0,0,0,1
participants,0,0,1,0,0
partner,1,0,0,0,0
party,0,1,0,0,1
pass,0,0,1,0,0
passbook,1,0,0,0,0
password,1,0,0,0,0
patriarchy,0,0,0,0,1
patriot,0,0,0,0,1
patriotism,0,0,0,0,1
patronage,0,0,0,0,1
pay,1,0,0,0,0
pay as you earn (paye),1,0,0,0,0
payee,1,0,0,0,0
paying-in slip,1,0,0,0,0
payment,1,0,0,0,0
pc,0,0,0,1,0
penalty,0,0,1,0,0
pension,1,0,0,0,0
pentathlon,0,0,1,0,0
percentage change,1,0,0,0,0
perform,0,1,1,0,0
performance,0,0,1,0,0
perk,1,0,0,0,0
permanent interest-bearing shares (pibs),1,0,0,0,0
persecution,0,0,0,0,1
personal loan,1,0,0,0,0
personnel,1,0,0,0,0
phone,0,0,0,1,0
photographs,0,1,0,0,0
physique,0,0,1,0,0
pianist,0,1,0,0,0
pic,0,1,0,0,0
pickleball,0,0,1,0,0
picture,0,1,0,0,0
pin number,1,0,0,0,0
ping pong,0,0,1,0,0
pitch,0,0,1,0,0
pitch (1),0,0,1,0,0
pitch (2),0,0,1,0,0
pitcher,0,0,1,0,0
pixel,0,0,0,1,0
pixels per inch,0,0,0,1,0
plagiarism,0,0,0,0,1
plan,1,0,0,0,0
platform,0,0,0,0,1
play,0,1,1,0,0
player,0,0,1,0,0
playhouse,0,1,0,0,0
playing,0,1,1,0,0
playing field,0,0,1,0,0
playoffs,0,0,1,0,0
playwright,0,1,0,0,0
plug-in,0,0,0,1,0
plugin,0,0,0,1,0
plutocracy,0,0,0,0,1
pm,0,0,0,0,1
podium,0,1,0,0,0
pogo stick,0,0,1,0,0
poison pill,1,0,0,0,0
pole,0,0,1,0,0
pole vault,0,0,1,0,0
pole-vault,0,0,1,0,0
policy,1,0,0,0,1
poling station,0,0,0,0,1
political,0,0,0,0,1
political correctness,0,0,0,0,1
political party,0,0,0,0,1
political science,0,0,0,0,1
politician,0,0,0,0,1
politicize,0,0,0,0,1
politics,0,0,0,0,1
poll,0,0,0,0,1
polling booth,0,0,0,0,1
polo,0,0,1,0,0
ponzi scheme,1,0,0,0,0
pool,0,0,1,0,0
pop,0,1,0,0,0
populism,0,0,0,0,1
populist,0,0,0,0,1
portable,0,0,0,1,0
portfolio,1,0,0,0,0
portrait,0,1,0,0,0
position,1,0,0,0,0
postal vote,0,0,0,0,1
postmodernist,0,1,0,0,0
pound,1,0,0,0,0
poverty trap,1,0,0,0,0
power,0,0,0,1,0
ppi,0,0,0,1,0
pre-raphaelite,0,1,0,0,0
precipice bonds,1,0,0,0,0
preference shares,1,0,0,0,0
prejudice,0,0,0,0,1
preliminary announcement (prelim),1,0,0,0,0
premium bonds,1,0,0,0,0
presentation,1,0,0,0,0
president,1,0,0,0,1
prestidigitation,0,0,0,0,1
price,1,0,0,0,0
price to earnings ratio (pe ratio),1,0,0,0,0
primary,0,0,0,0,1
primary discount rate,1,0,0,0,0
prime minister,0,0,0,0,1
prime rate,1,0,0,0,0
principal,1,0,0,0,0
private enterprise,0,0,0,0,1
privatisation,1,0,0,0,0
privatize,0,0,0,0,1
privilege,0,0,0,0,1
producer price index,1,0,0,0,0
product,1,0,0,0,0
production,1,0,0,0,0
professional,0,0,1,0,0
profit,1,0,0,0,0
profit and loss account,1,0,0,0,0
profit participating deferred shares,1,0,0,0,0
profitable,1,0,0,0,0
profits,1,0,0,0,0
program,0,0,0,1,0
programmer,0,0,0,1,0
progress,0,0,0,1,0
progressive,0,0,0,0,1
project,0,0,0,1,0
promotion,1,0,0,0,0
propaganda,0,0,0,0,1
proportional representation,0,0,0,0,1
proposal,1,0,0,0,0
prospects,1,0,0,0,0
protocol,0,0,0,1,0
proxy,1,0,0,0,1
pub,0,1,0,0,0
public company,1,0,0,0,0
public opinion,0,0,0,0,1
puck,0,0,1,0,0
pundit,0,0,0,0,1
puppet show,0,1,0,0,0
purchase order,1,0,0,0,0
purchasing,1,0,0,0,0
purchasing managers' index (pmi),1,0,0,0,0
purchasing power parity,1,0,0,0,0
pyrotechnics,0,1,0,0,0
quantitative easing,1,0,0,0,0
quantity theory of money,1,0,0,0,0
quarter,1,0,1,0,0
quarterback,0,0,1,0,0
quarterly report,1,0,0,0,0
queen,0,0,0,0,1
quit,1,0,0,0,0
quiver,0,0,1,0,0
quota,1,0,0,0,0
race,0,0,1,0,0
racer,0,0,1,0,0
racewalking,0,0,1,0,0
racing,0,0,1,0,0
racism,0,0,0,0,1
racket,0,0,1,0,0
racquetball,0,0,1,0,0
radical,0,0,0,0,1
radio,0,0,0,1,0
rafting,0,0,1,0,0
rally,1,0,0,0,0
random walk theory,1,0,0,0,0
rank,1,0,0,0,0
raree show,0,1,0,0,0
raster,0,0,0,1,0
rate of return,1,0,0,0,0
ratify,0,0,0,0,1
ratings agencies,1,0,0,0,0
rave,0,1,0,0,0
re-install the programs,0,0,0,1,0
reactionary,0,0,0,0,1
reading,0,1,0,0,0
real estate investment trusts,1,0,0,0,0
real interest rate,1,0,0,0,0
real values,1,0,0,0,0
real wages,0,0,0,0,1
realist,0,1,0,0,0
rebel,0,0,0,0,1
rebound,0,0,1,0,0
rebut,0,0,0,0,1
receipt,1,0,0,0,0
reception,0,1,0,0,0
recession,1,0,0,0,1
recital,0,1,0,0,0
recitation,0,1,0,0,0
reckless,0,0,0,0,1
record,0,1,1,0,0
recrimination,0,0,0,0,1
recruit,1,0,0,0,0
recruiter,1,0,0,0,0
red card,0,0,1,0,0
referee,0,0,1,0,0
referendum,0,0,0,0,1
reform,0,0,0,0,1
refund,1,0,0,0,0
refute,0,0,0,0,1
regime,0,0,0,0,1
regressive tax,1,0,0,0,0
regulatory news service (rns),1,0,0,0,0
relay,0,0,1,0,0
renaissance,0,1,0,0,0
repayment mortgage,1,0,0,0,0
representative,0,0,0,0,1
reps,0,0,1,0,0
republic,0,0,0,0,1
republican,0,0,0,0,1
republican party,0,0,0,0,1
reputation,0,0,0,0,1
resign,1,0,0,0,0
resignation,0,0,0,0,1
resistance training,0,0,1,0,0
resolution,0,0,0,1,0
retail,1,0,0,0,0
retail prices index (rpi),1,0,0,0,0
retailer,1,0,0,0,0
retaliation,0,0,0,0,1
retire,1,0,0,0,0
retirement age,1,0,0,0,0
revelation,0,0,0,0,1
reverse takeover,1,0,0,0,0
review,0,1,0,0,0
revolution,0,0,0,0,1
revolutionary,0,0,0,1,0
revolutionise,0,0,0,1,0
revue,0,1,0,0,0
ride,0,1,1,0,0
riding,0,0,1,0,0
ridotto,0,1,0,0,0
rig,0,0,0,0,1
right-wing,0,0,0,0,1
rights,0,0,0,0,1
rights issue,1,0,0,0,0
rink,0,0,1,0,0
risk,1,0,0,0,0
road show,0,1,0,0,0
robot,0,0,0,1,0
robotics technology,0,0,0,1,0
rock,0,1,0,0,0
rock climbing,0,0,1,0,0
rococo,0,1,0,0,0
rodeo,0,1,0,0,0
roller skates,0,0,1,0,0
roller skating,0,0,1,0,0
romantic,0,1,0,0,0
rookie,0,0,1,0,0
round,0,0,1,0,0
router,0,0,0,1,0
routers,0,0,0,1,0
row,0,0,1,0,0
rower,0,0,1,0,0
rowing,0,0,1,0,0
royal mint,1,0,0,0,0
ruck,0,0,1,0,0
rugby,0,0,1,0,0
rules,0,0,1,0,0
run,0,0,0,0,1
run,0,0,1,0,1
run for office,0,0,0,0,1
runner,0,0,1,0,0
running,0,0,1,0,0
rã©sumã©,1,0,0,0,0
safety net,0,0,0,0,1
saga,0,0,0,0,1
sailing,0,0,1,0,0
salary,1,0,0,0,0
sale,1,0,0,0,0
salesman,1,0,0,0,0
saleswoman,1,0,0,0,0
savings account,1,0,0,0,0
saxophonist,0,1,0,0,0
scandal,0,0,0,0,1
scandalous,0,0,0,0,1
scapegoat,0,0,0,0,1
scene,0,1,0,0,0
score,0,0,1,0,0
scoreboard,0,0,1,0,0
screen,0,1,0,1,0
script,0,1,0,0,0
scrum,0,0,1,0,0
scuba,0,0,1,0,0
scull,0,0,1,0,0
sculling,0,0,1,0,0
sculptor,0,1,0,0,0
sculpture,0,1,0,0,0
sdk,0,0,0,1,0
search engine,0,0,0,1,0
search engine marketing,1,0,0,1,0
season ticket,0,0,1,0,0
seat,0,0,0,0,1
second-lien loan,1,0,0,0,0
secretary,1,0,0,0,0
securities and exchange commission,1,0,0,0,0
security,1,0,0,1,0
self-certification mortgage,1,0,0,0,0
self-invested personal pensions,1,0,0,0,0
self-select isa,1,0,0,0,0
sell,1,0,0,0,0
seller,1,0,0,0,0
sem,1,0,0,0,0
senate,0,0,0,0,1
senator,0,0,0,0,1
sequence,0,1,0,0,0
series,0,0,1,0,0
serious fraud office (sfo),1,0,0,0,0
serve,0,0,1,0,0
server,0,0,0,1,0
servers,0,0,0,1,0
service,1,0,0,0,0
shadow play,0,1,0,0,0
share index,1,0,0,0,0
share options,1,0,0,0,0
shareholder,1,0,0,0,0
ship,1,0,0,0,0
shipment,1,0,0,0,0
shipping,1,0,0,0,0
shoot,0,0,1,0,0
shooting,0,1,0,0,0
shop,1,0,0,0,0
shop online,0,0,0,1,0
shortstop,0,0,1,0,0
shot,0,1,0,0,0
shot put,0,0,1,0,0
show,0,1,0,0,0
shut down,0,0,0,1,0
shuttlecock,0,0,1,0,0
sick leave,1,0,0,0,0
sideshow,0,1,0,0,0
sign,1,0,0,0,0
signature,1,0,0,0,0
silent movie,0,1,0,0,0
silver medal,0,0,1,0,0
silver surfer,0,0,0,1,0
sing,0,1,0,0,0
singer,0,1,0,0,0
singsong,0,1,0,0,0
sipps,1,0,0,0,0
site,0,0,0,1,0
sivs,1,0,0,0,0
skate,0,0,1,0,0
skating rink,0,0,1,0,0
skeleton,0,0,1,0,0
sketch,0,1,0,0,0
ski,0,0,1,0,0
skier,0,0,1,0,0
skiing,0,0,1,0,0
skill,0,0,1,0,0
skin flick,0,1,0,0,0
skis,0,0,1,0,0
slalom,0,0,1,0,0
slapshot,0,0,1,0,0
sled,0,0,1,0,0
sledder,0,0,1,0,0
sledding,0,0,1,0,0
slide show,0,1,0,0,0
slot machine,0,1,0,0,0
sloth,0,0,0,0,1
slow motion,0,1,0,0,0
smart card,0,0,0,1,0
smartphone,0,0,0,1,0
smash,0,0,1,0,0
snooker,0,0,1,0,0
snooker hall,0,1,0,0,0
snorkeling,0,0,1,0,0
snowboard,0,0,1,0,0
snowboarder,0,0,1,0,0
snowboarding,0,0,1,0,0
snowshoeing,0,0,1,0,0
soccer,0,0,1,0,0
social justice,0,0,0,0,1
social media networks,0,0,0,1,0
social welfare,0,0,0,0,1
socialism,0,0,0,0,1
socialist,0,0,0,0,1
soft commodities,1,0,0,0,0
soft copy,0,0,0,1,0
softball,0,0,1,0,0
software,0,0,0,1,0
software development kit,0,0,0,1,0
soiree,0,1,0,0,0
solicit,0,0,0,0,1
somersault,0,0,1,0,0
sonia,1,0,0,0,0
speaker,0,0,0,0,1
special liquidity scheme,1,0,0,0,0
spectator,0,0,1,0,0
speed skating,0,0,1,0,0
spike,0,0,1,0,0
spin,0,0,0,0,1
spin doctor,0,0,0,0,1
split capital investment trusts,1,0,0,0,0
sport,0,0,1,0,0
sport centre,0,0,1,0,0
sports,0,0,1,0,0
sports stadium,0,1,0,0,0
sportsmanship,0,0,1,0,0
spot market/spot price,1,0,0,0,0
spreadsheet,1,0,0,0,0
sprint,0,0,1,0,0
square mile,1,0,0,0,0
squash,0,0,1,0,0
stadium,0,1,1,0,0
staff,1,0,0,0,0
stagflation,1,0,0,0,0
stakeholder pensions,1,0,0,0,0
stalls,0,1,0,0,0
stamp duty,1,0,0,0,0
standing order,1,0,0,0,0
standings,0,0,1,0,0
star,0,1,0,0,0
state,0,0,0,0,1
state duma,0,0,0,0,1
state-of-the-art,0,0,0,1,0
statement,1,0,0,0,0
statesman,0,0,0,0,1
stick,0,0,1,0,0
stock,1,0,0,0,0
stock exchange,1,0,0,0,0
stockholder,1,0,0,0,0
strategy,0,0,1,0,0
street theatre,0,1,0,0,0
strike,1,0,1,0,1
strikeout,0,0,1,0,0
striptease,0,1,0,0,0
stroke,0,0,1,0,0
stroll,0,1,0,0,0
sub-prime loans,1,0,0,0,0
subterfuge,0,0,0,0,1
success,1,0,0,0,0
sumo wrestling,0,0,1,0,0
super bowl,0,0,1,0,0
superintendent,1,0,0,0,0
supermarket checkouts,0,0,0,1,0
supervisor,1,0,0,0,0
supply,1,0,0,0,0
supporter,0,0,1,0,0
surfer,0,0,1,0,0
surfing,0,0,1,0,0
surfing the web,0,0,0,1,0
surplus,0,0,0,0,1
surrealist,0,1,0,0,0
swaps,1,0,0,0,0
swim,0,0,1,0,0
swimmer,0,0,1,0,0
swimming,0,0,1,0,0
synchronized swimming,0,0,1,0,0
system,0,0,0,1,0
systems,0,0,0,1,0
table tennis,0,0,1,0,0
tackle,0,0,1,0,0
tactics,0,0,1,0,0
taekwondo,0,0,1,0,0
tag,0,0,1,0,0
tainted,0,0,0,0,1
takeover,1,0,0,0,0
takeover bid,1,0,0,0,0
takeover panel,1,0,0,0,0
talent,0,0,1,0,0
tangible common equity ratio,1,0,0,0,0
target,1,0,1,0,0
tariff,1,0,0,0,0
tarnish,0,0,0,0,1
tax,1,0,0,0,0
tax haven,1,0,0,0,0
team,0,0,1,0,0
teammate,0,0,1,0,0
teamwork,0,0,1,0,0
teaser rate,1,0,0,0,0
tech,0,0,0,1,0
tech-savvy,0,0,0,1,0
techie,0,0,0,1,0
technological,0,0,0,1,0
technological breakthrough,0,0,0,1,0
technology,0,0,0,1,0
technophile,0,0,0,1,0
technophobe,0,0,0,1,0
tee,0,0,1,0,0
telefilm,0,1,0,0,0
telemark skiing,0,0,1,0,0
teller,1,0,0,0,0
temp,1,0,0,0,0
temptation,0,0,0,0,1
tennis,0,0,1,0,0
term assurance,1,0,0,0,0
terminal bonus,1,0,0,0,0
terms,1,0,0,0,0
terrorism,0,0,0,0,1
tetherball,0,0,1,0,0
text-messaging,0,0,0,1,0
the college intranet,0,0,0,1,0
the digital revolution,0,0,0,1,0
theatre,0,1,0,0,0
theme park,0,1,0,0,0
thriller,0,1,0,0,0
throw,0,0,1,0,0
throwing,0,0,1,0,0
ticket,0,1,0,0,0
tickets,0,1,0,0,0
tie,0,0,1,0,0
tightrope-walking,0,1,0,0,0
toboggan,0,0,1,0,0
tournament,0,0,1,0,0
tpu,0,0,0,1,0
track,0,0,1,0,0
track and field,0,0,1,0,0
tracker funds,1,0,0,0,0
trade,1,0,0,0,0
trade balance,1,0,0,0,0
trade union,0,0,0,0,1
trade-off,1,0,0,0,0
tragedy,0,1,0,0,0
train,0,0,1,0,0
trainee,1,0,0,0,0
trainer,0,0,1,0,0
trampoline,0,0,1,0,0
transaction,1,0,0,0,0
treasurer,1,0,0,0,0
treasury,1,0,0,0,0
trend,1,0,0,0,0
triathlete,0,0,1,0,0
triathlon,0,0,1,0,0
triple jump,0,0,1,0,0
triple play,0,0,1,0,0
triumph,0,0,1,0,0
trophy,0,0,1,0,0
troubled asset relief programme,1,0,0,0,0
troupe,0,1,0,0,0
tug of war,0,0,1,0,0
turn something on its head,0,0,0,1,0
turn-out,0,0,0,0,1
turnover,1,0,0,0,0
turnstile,0,0,1,0,0
tv,0,0,0,1,0
tycoon,0,0,0,0,1
typeface,1,0,0,0,0
typewriter,1,0,0,0,0
tyranny,0,0,0,0,1
ufc,0,0,1,0,0
ugc,0,0,0,1,0
ui,0,0,0,1,0
ultramarathon,0,0,1,0,0
ultramarathoner,0,0,1,0,0
umpire,0,0,1,0,0
underwriter,1,0,0,0,0
unemployed,0,0,0,0,1
unemployment,1,0,0,0,0
unethical,0,0,0,0,1
unicycle,0,0,1,0,0
unicyclist,0,0,1,0,0
uniform,0,0,1,0,0
uniform resource locator,0,0,0,1,0
union,1,0,0,0,0
unionize,0,0,0,0,1
unit cost,1,0,0,0,0
unit trust,1,0,0,0,0
united states capitol,0,0,0,0,1
unjust,0,0,0,0,1
unquoted shares,1,0,0,0,0
unsavory,0,0,0,0,1
upgrade,1,0,0,1,0
upload,1,0,0,0,0
upper class,0,0,0,0,1
upper house,0,0,0,0,1
url,0,0,0,1,0
user experience,0,0,0,1,0
user interface,0,0,0,1,0
user-friendly,0,0,0,1,0
user-generated content,0,0,0,1,0
username,1,0,0,0,0
ux,0,0,0,1,0
vacancy,1,0,0,0,0
vacation time,1,0,0,0,0
value added tax,1,0,0,0,0
variable rate mortgage,1,0,0,0,0
variety,0,1,0,0,0
vat,1,0,0,0,0
vaudeville,0,1,0,0,0
vault,0,0,1,0,0
vaulter,0,0,1,0,0
vaulting,0,0,1,0,0
vector,0,0,0,1,0
ventriloquism,0,1,0,0,0
venture,1,0,0,0,0
vertical merger,1,0,0,0,0
veto,0,0,0,0,1
vice president,0,0,0,0,1
vice-president,1,0,0,0,0
victory,0,0,1,0,0
video conference,1,0,0,0,0
video conferencing,0,0,0,1,0
video game,0,1,0,0,0
violinist,0,1,0,0,0
virtual,0,0,0,1,0
virtual machine,0,0,0,1,0
virtual private network,0,0,0,1,0
virtual reality,0,0,0,1,0
virus,0,0,0,1,0
visiting team,0,0,1,0,0
vm,0,0,0,1,0
vocalist,0,1,0,0,0
volley,0,0,1,0,0
volley ball,0,0,1,0,0
volleyball,0,0,1,0,0
volume,1,0,0,0,0
vote,0,0,0,0,1
vote,0,0,0,0,1
vpn,0,0,0,1,0
vr,0,0,0,1,0
vulture funds,1,0,0,0,0
wakeboarding,0,0,1,0,0
walk,0,0,1,0,0
walker,0,0,1,0,0
walking,0,0,1,0,0
wall of death,0,1,0,0,0
wall street,1,0,0,0,0
waltzer,0,1,0,0,0
warehouse party,0,1,0,0,0
warranty,1,0,0,0,0
wastebasket,1,0,0,0,0
watch,0,0,0,1,0
water polo,0,0,1,0,0
water ski,0,0,1,0,0
water skier,0,0,1,0,0
water skiing,0,0,1,0,0
watercolour,0,1,0,0,0
waybill,1,0,0,0,0
web,0,0,0,1,0
website,0,0,0,1,0
websites,0,0,0,1,0
wedge issue,0,0,0,0,1
weighted average,1,0,0,0,0
weightlifter,0,0,1,0,0
weightlifting,0,0,1,0,0
weights,0,0,1,0,0
welfare state,0,0,0,0,1
western,0,1,0,0,1
wetsuit,0,0,1,0,0
whip,0,0,0,0,1
whist drive,0,1,0,0,0
whistle,0,0,1,0,0
white house,0,0,0,0,1
white knight,1,0,0,0,0
white privilege,0,0,0,0,1
white supremacy,0,0,0,0,1
white water rafting,0,0,1,0,0
whole-of-life policy,1,0,0,0,0
wholesale,1,0,0,0,0
wholesaler,1,0,0,0,0
wi-fi,0,0,0,1,0
wicket,0,0,1,0,0
wifi,0,0,0,1,0
wild west show,0,1,0,0,0
win,0,0,1,0,0
win-win,1,0,0,0,0
windfall tax,1,0,0,0,0
windsurfer,0,0,1,0,0
windsurfing,0,0,1,0,0
winner,0,0,1,0,0
winning,0,0,1,0,0
winter sports,0,0,1,0,0
wireframe,0,0,0,1,0
wireless,0,0,0,1,0
wireless hotspots,0,0,0,1,0
wireless technology,0,0,0,1,0
withdraw,1,0,0,0,0
withdrawal,1,0,0,0,0
without-profits policy,1,0,0,0,0
word processing,0,0,0,1,0
work,1,0,0,0,0
worker,1,0,0,0,0
working class,0,0,0,0,1
workroom,1,0,0,0,0
workshop,0,1,0,0,0
workspace,1,0,0,0,0
world cup,0,0,1,0,0
world series,0,0,1,0,0
wrestler,0,0,1,0,0
wrestling,0,0,1,0,0
writer,0,1,0,0,0
xenophobia,0,0,0,0,1
yellow card,0,0,1,0,0
yen carry trade,1,0,0,0,0
yield,1,0,0,0,0
zarzuela,0,1,0,0,0
zero interest rates,1,0,0,0,0
zombie funds,1,0,0,0,0
zoo,0,1,0,0,0
épée,0,0,1,0,0
